id;start_date;end_date;language
1;2019-03-27T13:35:35;2019-03-27T06:43:52;FRENCH
2;2019-03-27T15:05:41;2019-03-27T00:11:51;FRENCH
3;2019-03-27T10:37:45;2019-03-27T02:01:45;FRENCH
4;2019-03-26T23:49:36;2019-03-27T07:16:38;FRENCH
5;2019-03-27T08:48:15;2019-03-27T13:32:24;FRENCH
6;2019-03-27T15:05:16;2019-03-27T16:22:12;FRENCH
7;2019-03-27T00:27:36;2019-03-27T13:08:23;FRENCH
8;2019-03-26T21:58:55;2019-03-27T05:59:04;FRENCH
9;2019-03-27T07:47:01;2019-03-27T16:11:39;FRENCH
10;2019-03-27T11:05:10;2019-03-27T08:21:25;FRENCH
